detail_item_code_dap,sum_dap,detail_item_code_new,sum_new,diff,date
AAG20O,1.0,AAG20O,1.0,0.0,20251101
ZYD05D,2.0,ZYD05D,2.0,0.0,20251101
AAG21D,2.0,AAG21D,2.0,0.0,20251101
AA42,5.0,AA42,5.0,0.0,20251101
AA080W,57.0,AA080W,57.0,0.0,20251101
PH31,5.0,PH31,5.0,0.0,20251101
ZDFE35C,23.0,ZDFE35C,23.0,0.0,20251101
MF701F,1.0,MF701F,1.0,0.0,20251101
ZTM01,4.0,ZTM01,4.0,0.0,20251101
ZYC004,1.0,ZYC004,1.0,0.0,20251101
ZYF005A,549.0,ZYF005A,549.0,0.0,20251101
AO116B,1.0,AO116B,1.0,0.0,20251101
RYA01,3.0,RYA01,3.0,0.0,20251101
ZIT05,1727.0,ZIT05,1727.0,0.0,20251101
ZY113,63.0,ZY113,63.0,0.0,20251101
ZYC006,7.0,ZYC006,7.0,0.0,20251101
AAG19S,1.0,AAG19S,1.0,0.0,20251101
GD349C,126.0,GD349C,126.0,0.0,20251101
PA541C,5.0,PA541C,5.0,0.0,20251101
ZTL09B,46.0,ZTL09B,46.0,0.0,20251101
MT603M,22.0,MT603M,22.0,0.0,20251101
ZTZA05,63.0,ZTZA05,63.0,0.0,20251101
FP048T,2.0,FP048T,2.0,0.0,20251101
ZZZZMEMPT,20939.0,ZZZZMEMPT,20939.0,0.0,20251101
MF107C,1.0,MF107C,1.0,0.0,20251101
ZYB002,48.0,ZYB002,48.0,0.0,20251101
ZGCF02A,116.0,ZGCF02A,116.0,0.0,20251101
AA081D,29.0,AA081D,29.0,0.0,20251101
AO109A,1.0,AO109A,1.0,0.0,20251101
GCE02,1.0,GCE02,1.0,0.0,20251101
ZGCD03,1205.0,ZGCD03,1205.0,0.0,20251101
ZTZA04A,49.0,ZTZA04A,49.0,0.0,20251101
BD986P,54.0,BD986P,54.0,0.0,20251101
ZYA006,734.0,ZYA006,734.0,0.0,20251101
ZGCG05,26.0,ZGCG05,26.0,0.0,20251101
ZJQ18,260.0,ZJQ18,260.0,0.0,20251101
AZ73,692.0,AZ73,692.0,0.0,20251101
ZYH001Q,275.0,ZYH001Q,275.0,0.0,20251101
DAC25,29.0,DAC25,29.0,0.0,20251101
DFA54,3.0,DFA54,3.0,0.0,20251101
MT102Z,28.0,MT102Z,28.0,0.0,20251101
ZEH26F,639.0,ZEH26F,639.0,0.0,20251101
MF109J,2.0,MF109J,2.0,0.0,20251101
TV02,1.0,TV02,1.0,0.0,20251101
GD348Q,513.0,GD348Q,513.0,0.0,20251101
FP049Q,30.0,FP049Q,30.0,0.0,20251101
XA389N,27.0,XA389N,27.0,0.0,20251101
ZTKC04A,47.0,ZTKC04A,47.0,0.0,20251101
ZDW14,160.0,ZDW14,160.0,0.0,20251101
PA533T,28.0,PA533T,28.0,0.0,20251101
