date,df_cti,cti_lookup,df_cti_new_column,df_cti_new_column_3,df_cti_join_8,df_cti_final_transform_4,df_cti_final_transform_7,df_no_duplicate,df_duplicate,transform_df,finalize_result,finalize_duplicate_branch,merge_duplicate_and_normal,apply_check_duplicate_seq,final_df,dap_total_items,new_total_items,diff_item_count,diff_percent
20251101,625283,625283,625283,625283,625283,625283,625283,625283,0,0,0,0,625283,625283,625283,2011,2011,0,0.0
20251102,676738,676738,676738,676738,676738,676738,676738,676738,0,0,0,0,676738,676738,676738,2027,2027,0,0.0
20251103,508611,508611,508611,508611,508611,508611,508611,508611,0,0,0,0,508611,508611,508611,1956,1956,0,0.0
20251104,585381,585381,585381,585381,585381,585381,585381,585381,0,0,0,0,585381,585381,585381,2076,2076,0,0.0
20251105,546547,546547,546547,546547,546547,546547,546547,546547,0,0,0,0,546547,546547,546547,1989,1989,0,0.0
20251106,554967,554967,554967,554967,554967,554967,554967,554967,0,0,0,0,554967,554967,554967,1962,1962,0,0.0
20251107,598679,598679,598679,598679,598679,598679,598679,598679,0,0,0,0,598679,598679,598679,1988,1988,0,0.0
20251108,666618,666618,666618,666618,666618,666618,666618,666618,0,0,0,0,666618,666618,666618,1989,1989,0,0.0
20251109,713951,713951,713951,713951,713951,713951,713951,713951,0,0,0,0,713951,713951,713951,1992,1992,0,0.0
20251110,504906,504906,504906,504906,504906,504906,504906,504906,0,0,0,0,504906,504906,504906,1965,1965,0,0.0
20251111,617373,617373,617373,617373,617373,617373,617373,617373,0,0,0,0,617373,617373,617373,2039,2039,0,0.0
20251112,547321,547321,547321,547321,547321,547321,547321,547321,0,0,0,0,547321,547321,547321,1969,1969,0,0.0
20251113,557121,557121,557121,557121,557121,557121,557121,557121,0,0,0,0,557121,557121,557121,2002,2002,0,0.0
20251114,595253,595253,595253,595253,595253,595253,595253,595253,0,0,0,0,595253,595253,595253,2029,2029,0,0.0
20251115,605728,605728,605728,605728,605728,605728,605728,605728,0,0,0,0,605728,605728,605728,1995,1995,0,0.0
20251116,653008,653008,653008,653008,653008,653008,653008,653008,0,0,0,0,653008,653008,653008,2031,2031,0,0.0
20251117,605523,605523,605523,605523,605523,605523,605523,605523,0,0,0,0,605523,605523,605523,1950,1950,0,0.0
20251118,613523,613523,613523,613523,613523,613523,613523,613523,0,0,0,0,613523,613523,613523,2007,2007,0,0.0
20251119,594707,594707,594707,594707,594707,594707,594707,594707,0,0,0,0,594707,594707,594707,1957,1957,0,0.0
20251120,597428,597428,597428,597428,597428,597428,597428,597428,0,0,0,0,597428,597428,597428,2114,2114,0,0.0
20251121,620404,620404,620404,620404,620404,620404,620404,620404,0,0,0,0,620404,620404,620404,2090,2090,0,0.0
20251122,672885,672885,672885,672885,672885,672885,672885,672853,32,32,32,32,672885,672869,672869,2128,2128,0,0.0
20251123,705234,705234,705234,705234,705234,705234,705234,705234,0,0,0,0,705234,705234,705234,2107,2107,0,0.0
20251124,588740,588740,588740,588740,588740,588740,588740,588740,0,0,0,0,588740,588740,588740,1987,1987,0,0.0
20251125,636731,636731,636731,636731,636731,636731,636731,636731,0,0,0,0,636731,636731,636731,2082,2082,0,0.0
20251126,614158,614158,614158,614158,614158,614158,614158,614158,0,0,0,0,614158,614158,614158,2020,2020,0,0.0
20251127,564844,564844,564844,564844,564844,564844,564844,564844,0,0,0,0,564844,564844,564844,2098,2098,0,0.0
